model,best_params,cv_best_f1,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,experiment,dataset,protocol,variant,landmark_percent,setting,features_before,features_after,pca_variance,pca_components
logistic,"{""C"": 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,revised,10.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,revised,10.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""linear""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,revised,10.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,revised,10.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 100}",0.9333333333333332,0.8,0.8333333333333333,0.6666666666666666,1.0,0.8,1.0,1.0,4,pkdd_czech,historical,revised,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,pkdd_czech,historical,revised,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,pkdd_czech,historical,revised,10.0,default,24.0,6.0,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=1,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=2,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=3,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=4,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=5,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=6,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=7,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=8,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=9,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=10,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=11,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=12,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=13,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=14,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=15,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,pkdd_czech,historical,revised,10.0,k=16,,,,
linear_regression,,,1.0,1.0,1.0,1.0,1.0,,,19,pkdd_czech,historical,revised,10.0,default,,,,
logistic,"{""C"": 1.0}",0.9975029809917936,0.995,0.995,1.0,0.99,0.9949748743718592,1.0,1.0,4,pkdd_czech,historical,historical500,10.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",0.9962730025623108,0.995,0.995,1.0,0.99,0.9949748743718592,1.0,1.0,4,pkdd_czech,historical,historical500,10.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""linear""}",0.9949871852856926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,historical500,10.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.9975029809917936,0.995,0.995,1.0,0.99,0.9949748743718592,0.99995,0.99990099009901,4,pkdd_czech,historical,historical500,10.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 100}",0.9962730025623108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,pkdd_czech,historical,historical500,10.0,default,,,,
